  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   0    0    3       5.62        -     617.63     567
   0    0    4  120725.72        -   13381.66     796
   0    0    5    -108.35        -     163.93     786
   0    0    6   43921.38        -    5242.72     748
   0    0    7     -98.36        -     230.13     661
   0    0    8    4215.02        -    1694.24     552
   0    0    9     421.22        -     191.32     529
   0    0   10    7885.46        -    2073.41     476
   0    0   11    -336.09        -     224.99     442
   0    0   12    8648.90        -     961.92     395
   0    0   13      45.77        -     199.66     343
   0    0   14   19441.33        -    2187.01     304
   0    0   15     -13.79        -     246.01     280
   0    0   16   16105.52        -    1754.28     255
   0    0   17    -260.44        -     231.25     240
   0    0   18     389.32        -     214.16     221
   0    0   19    -177.36        -     201.13     237
   0    0   20    9205.66        -     818.42     236
   0    0   21     -67.93        -     209.17     233
   0    0   22     199.92        -     204.80     213
   0    0   23    -128.29        -     197.90     231
   0    0   24     685.06        -     263.35     218
   0    0   25      59.49        -     205.95     226
   0    0   26    1166.87        -     473.34     203
   0    0   27     193.30        -     201.03     223
   0    0   28   22192.22        -    1788.77     189
   0    0   29     112.96        -     134.24     196
   0    0   30   12791.43        -    1022.98     186
   0    0   31      34.82        -     124.59     185
   0    0   32     545.98        -     118.17     178
   0    0   33      53.21        -      92.35     170
   0    0   34     438.07        -      95.22     161
   0    0   35      70.83        -      68.39     150
   0    0   36    2883.43        -     268.22     157
   0    0   37     -38.28        -      54.16     155
   0    0   38      10.65        -      45.16     151
   0    0   39      71.21        -      47.65     149
   0    0   40     787.47        -      89.30     145
   0    0   41      46.89        -      35.62     126
   0    0   42     479.13        -      58.79     135
   0    0   43       5.08        -      30.77     133
   0    0   44     166.73        -      30.05     132
   0    0   45     -41.23        -      26.34     115
   0    0   46     201.07        -      45.08     124
   0    0   47     -12.36        -      19.73     121
   0    0   48     116.28        -      32.82     108
   0    0   49      10.91        -      14.29     100
   0    0   50      40.89        -      12.61     100
   0    0   51       3.03        -      12.65      67
   0    0   52      25.34        -      14.06      55
   0    0   53      16.75        -      14.79      50
   0    0   54     -17.16        -      17.22      19
   0    0   55      -2.44        -      17.04      12
   0    0   56      12.63        -      18.09      18
   0    0   57      -6.86        -      13.97      14
   0    0   58      10.41        -       9.61       5
   0    0   59       6.24        -       8.82       6
   0    0   60      -7.62        -       2.96       2
   0    1    3  273795.07        -   19457.99    1349
   0    1    4  131781.99        -    9359.35    1683
   0    1    5   95994.97        -    6976.70    1506
   0    1    6   54493.24        -    4283.50    1375
   0    1    7  120101.46        -    9111.31    1288
   0    1    8    8326.21        -     851.04    1126
   0    1    9    1553.77        -     246.06    1069
   0    1   10    7626.26        -     765.12     983
   0    1   11    8218.47        -     872.24     940
   0    1   12    3402.21        -     755.12     829
   0    1   13      12.83        -     149.96     715
   0    1   14     296.70        -     205.44     659
   0    1   15  129560.34        -    9942.06     646
   0    1   16   13769.62        -    1041.46     569
   0    1   17    5114.65        -     475.79     555
   0    1   18      93.44        -     153.05     515
   0    1   19   34315.69        -    2475.01     498
   0    1   20   11879.11        -     925.81     464
   0    1   21    1544.52        -     179.52     460
   0    1   22     116.06        -     138.51     403
   0    1   23     293.65        -     151.27     461
   0    1   24   31130.53        -    2139.90     446
   0    1   25   11608.79        -     764.20     421
   0    1   26   13057.25        -     777.28     411
   0    1   27   46427.16        -    2750.80     440
   0    1   28   56904.54        -    3093.74     425
   0    1   29    3759.08        -     236.61     412
   0    1   30      43.69        -      78.79     388
   0    1   31    2121.36        -     148.05     337
   0    1   32    2552.59        -     196.87     313
   0    1   33    4321.36        -     257.86     299
   0    1   34    5000.83        -     338.44     311
   0    1   35    3037.32        -     187.39     316
   0    1   36     219.87        -      45.00     309
   0    1   37      99.56        -      40.27     285
   0    1   38     542.75        -      60.52     258
   0    1   39    1206.36        -      87.32     315
   0    1   40     993.29        -      78.14     282
   0    1   41     409.13        -      42.02     263
   0    1   42       8.45        -      26.78     242
   0    1   43      -6.76        -      20.99     284
   0    1   44      56.29        -      18.02     259
   0    1   45      37.62        -      17.99     235
   0    1   46     534.46        -      63.13     219
   0    1   47     -25.41        -      12.91     202
   0    1   48      35.46        -      12.73     237
   0    1   49     153.49        -      21.74     199
   0    1   50      31.65        -      12.54     160
   0    1   51       7.13        -       9.99     133
   0    1   52       0.94        -      10.42      99
   0    1   53      -0.04        -      11.40      63
   0    1   54       6.25        -       8.66      59
   0    1   55       1.43        -      11.22      42
   0    1   56      -8.57        -      13.16      21
   0    1   57       2.93        -       8.63      22
   0    1   58      -8.04        -      15.28      10
   0    1   59       4.25        -       9.06      15
   0    2    2   29199.26        -    3458.49     970
   0    2    3    6099.30        -     567.21    1550
   0    2    4  209074.76        -   13961.32    1668
   0    2    5   45872.92        -    3464.97    1582
   0    2    6   97655.57        -    7291.22    1454
   0    2    7   67550.57        -    5816.46    1265
   0    2    8   46036.96        -    3524.15    1181
   0    2    9   11361.94        -    1032.70     967
   0    2   10  220284.94        -   16039.72     994
   0    2   11   12675.84        -    1281.78     912
   0    2   12      88.18        -     141.24     856
   0    2   13   14155.44        -    1095.79     752
   0    2   14   48117.54        -    3394.02     694
   0    2   15   92340.90        -    6157.99     681
   0    2   16     550.98        -     273.06     611
   0    2   17    -259.53        -     136.73     586
   0    2   18    1326.93        -     194.02     532
   0    2   19   21467.02        -    1876.41     559
   0    2   20     341.38        -     134.23     522
   0    2   21     282.12        -     145.14     469
   0    2   22   19558.54        -    1240.43     423
   0    2   23      13.23        -     142.65     458
   0    2   24   11333.04        -     881.79     434
   0    2   25   19235.53        -    1096.61     432
   0    2   26    8963.70        -     541.23     436
